Позывной,Гос. номер,Безналичные,Наличные ,Общая стоимость,Общая комиссия,Заработок,Бонус,Общее расстояние,К-во поездок,
82131,AE0439OM,2777.00,5151.00,7928.00,1189.20,6738.80,0.00,423.93,52.00,
101768,AE2982OA,4203.00,3632.00,7835.00,1175.25,6659.75,0.00,506.16,43.00,
189562,AE4780OX,3563.00,3349.00,6912.00,1036.80,5875.20,0.00,660.28,38.00,
183904,AE0694PA,6673.00,4966.00,11639.00,1745.85,9893.15,0.00,1151.19,46.00,
75094,AE8912OT,6496.00,5918.00,12414.00,1862.10,10551.90,0.00,1089.63,91.00,
75119,AE3864MC,1209.00,349.00,1558.00,233.70,1324.30,0.00,122.37,14.00,
184077,AE3690PB,3381.00,3850.00,7231.00,1084.65,6146.35,0.00,463.61,55.00,
74715,AE8901OT,177.00,679.00,856.00,128.40,727.60,0.00,63.03,8.00,
72523,AE8902OT,1613.00,1357.00,2970.00,445.50,2524.50,0.00,187.32,28.00,
185571,AE1267OX,1696.00,1244.00,2940.00,441.00,2499.00,0.00,297.07,19.00,
118187,AE7549OE,230.00,482.00,712.00,106.80,605.20,0.00,67.30,6.00,
151808,AE0193OI,512.00,721.00,1233.00,184.95,1048.05,0.00,68.19,8.00,
184596,AE1268OX,5288.00,5994.00,11282.00,1692.30,9589.70,0.00,1074.33,78.00,
76738,AE3861MC,1503.00,2216.00,3719.00,557.85,3161.15,0.00,414.16,13.00,
76916,AE3866MC,186.00,66.00,252.00,37.80,214.20,0.00,22.51,3.00,
117221,BI6544EE,531.00,1424.00,1955.00,293.25,1661.75,0.00,181.66,11.00,
198700,BH9134OH,2840.00,1878.00,4718.00,707.70,4010.30,0.00,440.49,40.00,
191232,AE1173OX,2576.00,4539.00,7115.00,1067.25,6047.75,0.00,721.03,41.00,
173746,AE4769OX,568.00,2426.00,2994.00,449.10,2544.90,0.00,276.39,13.00,
117766,BI6543EE,349.00,1475.00,1824.00,273.60,1550.40,0.00,163.66,14.00,
175770,AE3158OX,2127.00,1305.00,3432.00,514.80,2917.20,0.00,338.54,23.00,
183901,AE1269OX,648.00,537.00,1185.00,177.75,1007.25,0.00,101.94,12.00,
77797,AE8914OT,1663.00,1158.00,2821.00,423.15,2397.85,0.00,297.01,14.00,

